Tanggal,Pintu Masuk,Jumlah Kunjungan
2019-04-01,A. Pintu Udara,772038.0
2019-04-01,Ngurah Rai,476104.0
2019-04-01,Soekarno-Hatta,196977.0
2019-04-01,Juanda,18431.0
2019-04-01,Kualanamu,21613.0
2019-04-01,Husein Sastranegara,14738.0
2019-04-01,Adi Sucipto,9922.0
2019-04-01,Sultan Syarif Kasim II,2745.0
2019-04-01,Sam Ratulangi,11574.0
2019-04-01,Minangkabau,5434.0
2019-04-01,Sultan Iskandar Muda,2225.0
2019-04-01,Ahmad Yani,1635.0
2019-04-01,Supadio,1886.0
2019-04-01,Hasanuddin,1312.0
2019-04-01,Sultan Badaruddin II,1409.0
2019-04-01,Pintu Udara Lainnya,890.0
2019-04-01,Total,1274231.0
2019-04-01,Bandara Int. Lombok,5143.0
2019-04-01,Jayapura,4702.0
2019-04-01,Tanjung Uban,48560.0
2019-04-01,Tanjung Pinang,15841.0
2019-04-01,Tanjung Balai Karimun,10039.0
2019-04-01,Tanjung Benoa,53.0
2019-04-01,Tanjung Mas,1015.0
2019-04-01,Pintu Laut Lainnya,98566.0
2019-04-01,C. Pintu Darat,173309.0
2019-04-01,B. Pintu Laut,328884.0
2019-04-01,Atambua,9618.0
2019-04-01,Entikong,1333.0
2019-04-01,Nanga Badau,937.0
2019-04-01,Pintu Darat Lainnya,155883.0
2019-04-01,Jumlah (A+B+C),1274231.0
2019-04-01,Lainnya,
2019-04-01,Batam,154810.0
2019-04-01,Aruk,836.0
2019-05-01,Pintu Udara Lainnya,889.0
2019-05-01,A. Pintu Udara,711229.0
2019-05-01,Ngurah Rai,483928.0
2019-05-01,Soekarno-Hatta,156654.0
2019-05-01,Juanda,14529.0
2019-05-01,Husein Sastranegara,8029.0
2019-05-01,Adi Sucipto,6664.0
2019-05-01,Sultan Syarif Kasim II,2364.0
2019-05-01,Sam Ratulangi,9755.0
2019-05-01,Minangkabau,3576.0
2019-05-01,Sultan Iskandar Muda,1360.0
2019-05-01,Ahmad Yani,996.0
2019-05-01,Supadio,1527.0
2019-05-01,Hasanuddin,1105.0
2019-05-01,Sultan Badaruddin II,1396.0
2019-05-01,Kualanamu,15573.0
2019-05-01,Bandara Int. Lombok,2884.0
2019-05-01,B. Pintu Laut,335111.0
2019-05-01,Jayapura,4743.0
2019-05-01,Total,1249536.0
2019-05-01,Tanjung Uban,58673.0
2019-05-01,Tanjung Pinang,14816.0
2019-05-01,Tanjung Balai Karimun,6235.0
2019-05-01,Tanjung Benoa,37.0
2019-05-01,Pintu Laut Lainnya,109903.0
2019-05-01,C. Pintu Darat,203196.0
2019-05-01,Tanjung Mas,0.0
2019-05-01,Atambua,7457.0
2019-05-01,Entikong,1290.0
2019-05-01,Nanga Badau,1705.0
2019-05-01,Pintu Darat Lainnya,187062.0
2019-05-01,Jumlah (A+B+C),1249536.0
2019-05-01,Lainnya,
2019-05-01,Batam,145447.0
2019-05-01,Aruk,939.0
2019-06-01,Husein Sastranegara,8652.0
2019-06-01,A. Pintu Udara,829067.0
2019-06-01,Ngurah Rai,549483.0
2019-06-01,Soekarno-Hatta,190031.0
2019-06-01,Juanda,22485.0
2019-06-01,Kualanamu,18935.0
2019-06-01,Adi Sucipto,6583.0
2019-06-01,Sultan Badaruddin II,1725.0
2019-06-01,Sam Ratulangi,8339.0
2019-06-01,Minangkabau,5212.0
2019-06-01,Sultan Syarif Kasim II,2971.0
2019-06-01,Sultan Iskandar Muda,2051.0
2019-06-01,Ahmad Yani,1872.0
2019-06-01,Supadio,1567.0
2019-06-01,Hasanuddin,1385.0
2019-06-01,Pintu Udara Lainnya,1649.0
2019-06-01,Total,1434103.0
2019-06-01,Bandara Int. Lombok,6127.0
2019-06-01,Jayapura,4326.0
2019-06-01,Pintu Laut Lainnya,120142.0
2019-06-01,Tanjung Uban,61850.0
2019-06-01,Tanjung Pinang,18935.0
2019-06-01,Tanjung Balai Karimun,10118.0
2019-06-01,Tanjung Benoa,33.0
2019-06-01,Tanjung Mas,73.0
2019-06-01,C. Pintu Darat,218884.0
2019-06-01,B. Pintu Laut,386152.0
2019-06-01,Atambua,8718.0
2019-06-01,Entikong,2312.0
2019-06-01,Aruk,2081.0
2019-06-01,Nanga Badau,1495.0
2019-06-01,Pintu Darat Lainnya,199952.0
2019-06-01,Jumlah (A+B+C),1434103.0
2019-06-01,Lainnya,
2019-06-01,Batam,175001.0
2019-07-01,Ngurah Rai,604310.0
2019-07-01,Juanda,24913.0
2019-07-01,Kualanamu,20929.0
2019-07-01,Husein Sastranegara,12581.0
2019-07-01,Adi Sucipto,10480.0
2019-07-01,Pintu Udara Lainnya,2063.0
2019-07-01,Sultan Iskandar Muda,2823.0
2019-07-01,Minangkabau,5183.0
